#{"t_start": 1760788861.0654204, "env_id": "None"}
r,l,t
-10.511267,134,859.182973
15.390209,31,859.659934
-8.911861,78,861.159421
-10.680765,52,862.33556
20.000304,439,868.765989
12.555046,21,869.035414
16.404946,98,870.351084
4.378664,1282,891.712847
13.882518,38,892.38347
14.908548,57,893.419846
14.247982,33,893.966302
14.482145,24,894.314136
-0.944912,282,898.624378
13.709919,33,899.353879
21.274608,262,903.11687
15.987978,80,903.977976
-5.986798,99,905.622201
13.114109,19,905.885994
14.508528,31,906.459822
13.459637,11,906.68788
-10.425197,53,907.575055
27.373195,213,911.710341
12.65407,63,912.931714
17.859405,170,915.891334
-13.86205,12,916.148214
15.213458,39,916.726333
13.818258,31,917.178552
14.818563,134,919.269475
15.001387,27,919.731312
16.568762,157,922.471382
16.164482,84,924.093147
14.052613,23,924.474136
17.650346,92,925.769753
13.936961,24,926.006054
13.904239,18,926.344829
17.465605,70,927.484455
-11.397478,588,937.507269
11.948064,14,937.770097
13.56311,12,938.022593
13.501268,16,938.270921
14.022474,33,938.899513
13.944438,13,939.159724
13.766467,13,939.39889
-5.765877,331,943.997752
17.186644,60,945.004698
14.389047,30,945.415709
16.994193,82,946.777918
14.327929,55,947.656492
14.911791,103,949.580948
18.96016,118,951.113491
-5.165541,600,961.137445
13.849719,16,961.350943
17.091572,71,962.434071
13.851296,24,962.76771
22.436288,486,970.506551
26.751412,702,982.062562
14.842185,22,982.333367
13.958039,13,982.506847
13.824154,50,983.406417
30.535568,686,994.844912
14.136298,85,996.176329
11.720544,23,996.621089
12.28044,91,998.085939
13.643729,135,999.797975
-8.078704,103,1001.379037
23.450941,166,1003.783539
31.746871,327,1008.594824
22.600243,873,1022.432596
17.763361,205,1025.696795
16.706653,34,1026.023951
-10.512874,15,1026.316393
15.774666,21,1026.678737
20.384539,101,1028.577719
-9.461345,46,1029.317936
15.638678,33,1029.927042
12.4944,19,1030.231981
16.692219,52,1031.216603
21.466374,229,1034.658251
19.228208,145,1037.156404
16.564934,74,1038.152948
-9.343458,56,1039.184418
18.413584,100,1040.911045
18.682154,69,1041.932173
-9.369307,187,1045.121256
17.665732,48,1045.531586
17.918799,68,1046.859685
19.867713,103,1048.27293
15.121962,30,1048.542339
16.139869,454,1056.232369
-6.310959,167,1059.14589
-9.24432,79,1060.748054
20.485897,38,1061.227182
-8.882027,77,1062.500236
13.910765,14,1062.765047
15.221575,74,1063.61578
13.325651,45,1064.383384
18.868013,122,1066.156044
13.560674,14,1066.457631
2.235457,529,1076.474817
13.947082,41,1077.101822
18.260947,50,1077.9989
14.717251,64,1079.154318
-9.23427,99,1080.832227
-10.854001,24,1081.361822
13.310614,11,1081.591482
15.219048,29,1081.953623
-8.55141,40,1082.610075
15.760333,32,1082.900298
21.789486,371,1088.656227
16.51382,43,1089.236897
18.772067,319,1094.654979
4.72561,601,1105.388727
13.944089,33,1105.744426
-7.836209,92,1107.21048
13.224714,20,1107.62027
-10.743826,34,1108.029738
17.704754,85,1109.557962
20.218771,169,1112.481094
19.741544,252,1116.292317
16.879787,61,1117.56477
13.443017,17,1117.963329
13.796242,20,1118.272582
15.756191,35,1118.871664
12.671936,19,1119.256249
13.87489,49,1120.196443
16.896882,78,1121.515455
17.189314,57,1122.355634
15.202343,32,1122.981619
16.125882,34,1123.633649
14.980272,28,1124.094941
14.291734,26,1124.486366
18.150737,268,1129.013245
18.690876,156,1131.484869
17.521585,90,1132.838448
17.543955,39,1133.623925
13.975413,37,1134.146393
16.011562,55,1135.126697
13.952842,35,1135.839041
17.754882,51,1136.53703
17.028646,38,1137.063768
14.207739,65,1138.12461
14.722937,27,1138.599832
18.676923,61,1139.504203
17.541095,43,1139.887886
17.200609,55,1140.533609
13.617874,171,1143.338104
14.113217,35,1143.950454
15.004739,33,1144.325825
13.911499,14,1144.628701
17.128784,64,1145.754047
14.715373,61,1146.778452
20.975641,92,1148.396374
14.61804,23,1148.755325
13.854836,32,1149.175033
-10.693213,19,1149.440364
14.984615,52,1150.209271
15.318825,22,1150.654012
14.544465,17,1150.949489
16.797775,40,1151.503347
14.630558,47,1152.103587
15.349536,57,1152.93385
21.183874,154,1155.903671
-10.681129,42,1156.61538
14.34984,41,1157.148391
16.715774,22,1157.403484
14.235531,39,1158.159184
-3.060146,573,1168.178277
16.797661,49,1169.054583
22.097122,273,1173.461659
16.288619,27,1173.670416
16.136862,54,1174.388436
17.399942,254,1178.355403
-10.82135,52,1179.285422
-0.253177,614,1189.317353
14.486875,22,1189.759351
30.244153,515,1198.155343
13.820177,23,1198.456182
13.511972,17,1198.809505
19.528186,80,1200.328373
16.811732,43,1200.976701
14.902301,73,1202.049417
17.228643,37,1202.852254
-5.871983,76,1204.085814
15.761377,36,1204.766162
17.308302,184,1207.966553
18.353768,70,1209.127262
15.506607,33,1209.426395
-7.434244,225,1213.318426
-10.93546,22,1213.757091
17.085766,22,1213.930358
17.139416,52,1214.587578
16.330281,72,1215.726078
18.216422,64,1216.599275
-11.885249,105,1218.245492
14.901051,32,1218.716129
14.306947,16,1219.014575
19.711959,202,1222.70875
-9.120312,12,1222.964338
13.809361,18,1223.204011
14.882123,25,1223.62091
19.662405,161,1226.297538
18.095606,67,1227.473177
14.807647,38,1227.953902
16.39874,42,1228.784473
13.747843,11,1229.033023
15.534182,84,1230.583767
15.455814,29,1230.903828
-7.593314,238,1235.600457
16.690666,31,1236.018842
16.546362,41,1236.581087
13.679375,155,1239.078019
13.343292,231,1242.698541
-11.900661,26,1243.162605
14.456326,39,1243.815768
14.248343,20,1244.10877
13.699894,40,1244.734439
14.494954,25,1245.135813
21.059572,511,1252.625594
13.782135,31,1253.119607
14.482665,19,1253.361071
14.74959,27,1253.680084
13.378095,20,1253.927098
13.214618,17,1254.261725
14.085919,20,1254.506958
15.495356,138,1256.647561
16.688989,32,1257.235461
16.939925,39,1257.501753
19.601603,80,1258.79197
14.364407,19,1259.094814
-3.362398,92,1260.33143
-9.353768,40,1261.073624
16.20104,180,1263.974939
15.971266,38,1264.360065
15.751171,87,1265.623379
15.397765,37,1266.060708
13.525166,13,1266.256249
13.686025,18,1266.574627
14.468728,20,1266.902552
15.695477,38,1267.69758
14.393909,23,1267.973747
13.611385,16,1268.202525
13.212997,25,1268.742246
17.283418,34,1269.006394
15.181834,31,1269.363401
15.431734,19,1269.543884
15.09627,33,1270.146357
14.802799,21,1270.436063
17.561621,82,1271.731416
19.161822,86,1273.420009
13.552444,25,1273.958138
-6.736496,73,1275.329407
-5.350849,76,1276.50471
13.948928,19,1276.868693
15.936756,58,1277.505099
20.85346,352,1283.092405
13.816317,11,1283.285043
15.368467,56,1284.111494
18.764709,61,1285.293581
-8.346505,57,1286.600651
13.217831,11,1286.852433
18.721671,57,1287.667196
-10.52627,22,1288.145866
13.743743,14,1288.429972
13.864016,14,1288.694581
16.068273,75,1289.621828
18.55179,51,1290.499765
