#{"t_start": 1760612182.2635891, "env_id": "None"}
r,l,t
-16.106208,50,321.273305
-13.022939,19,321.772863
-12.815082,82,323.815968
-13.861551,26,324.647651
-15.405741,106,327.249304
11.885953,18,327.706065
-89.908421,293,334.874886
-12.094922,7,335.085089
-12.178829,10,335.325144
-12.491841,12,335.619859
-22.693608,138,339.043698
11.256407,29,339.78536
-13.754049,26,340.440684
-12.445554,11,340.726922
-14.871128,64,342.308832
-12.687,14,342.675003
-12.978448,23,343.261584
-14.4134,47,344.001157
-14.247517,28,344.741614
-13.391356,33,345.614137
-118.284588,403,355.659879
-12.114691,4,355.856774
-13.001345,19,356.337793
-11.999492,10,356.598552
-12.193561,20,357.080464
-71.614778,298,364.310021
-12.631221,13,364.643027
11.993071,21,365.168814
-12.229973,7,365.359233
-12.56139,17,365.772497
-27.282901,120,368.742394
-13.754005,27,369.423806
-12.319703,7,369.612434
-13.150425,34,370.659765
-17.248078,97,373.180657
-12.393572,9,373.377897
-13.102344,23,373.839909
-13.035132,15,374.225114
-40.487537,191,378.913879
11.019043,27,379.321314
-14.282654,53,380.838216
-13.48341,39,381.79816
-22.745606,117,384.763865
-14.49265,51,386.030351
-19.249111,83,387.981327
-13.378466,29,388.549605
-12.324136,7,388.761814
-15.066613,35,389.642839
-14.553919,56,391.031137
-15.424044,49,392.239872
-14.649549,44,393.356151
-13.214882,24,394.145816
-12.550803,10,394.54971
-11.743294,17,394.941806
-12.512465,12,395.253102
-13.601714,35,396.12861
-15.808797,54,397.456526
-13.072025,18,397.916572
-14.733078,41,398.941723
-14.563533,49,400.143478
-27.192035,81,402.123157
-15.175142,57,403.522708
12.061384,27,404.183136
-13.08254,21,404.896281
-13.023084,18,405.494108
-14.01656,63,407.008685
-15.603973,46,408.145479
11.796829,31,408.921862
-19.849839,72,410.701743
-240.374135,414,420.743685
-12.547921,12,421.05467
-13.895717,31,421.822959
-12.861925,21,422.349239
-18.467065,95,424.73931
-12.410703,16,425.105847
-14.754861,56,426.498699
-12.336925,8,426.713028
-13.96128,37,427.62658
-14.417367,49,428.851134
-12.652968,13,429.187018
-13.117304,19,429.684975
-36.192909,152,433.454502
-13.028176,24,434.051342
-33.201392,114,436.82096
-56.356587,315,444.444552
-16.442833,93,446.715336
-12.602944,12,447.027061
