#{"t_start": 1760834127.2032743, "env_id": "None"}
r,l,t
-11.908408,11,0.412505
-13.032917,22,0.85651
-7.573204,146,2.919686
-11.273673,29,3.462341
-12.418084,26,3.921055
-12.810873,30,4.558662
-16.351601,308,10.485585
-15.293417,342,17.142608
-10.377874,32,17.769333
-11.790424,9,17.950089
-28.367856,227,22.236177
-12.377672,16,22.528837
-12.615546,26,22.965996
-10.672818,66,24.412517
-12.0586,341,31.088175
-22.14285,227,35.633889
-12.553333,10,35.840621
-10.230928,30,36.462183
-12.955826,71,37.781073
-24.360931,239,42.237803
-20.841233,496,51.920243
-14.336292,97,53.910853
-14.604618,46,54.778013
-12.261677,66,56.044661
-12.16411,99,57.659698
-11.042702,204,61.853238
-12.27145,10,62.039003
-14.673157,76,63.520393
-12.727968,53,64.590847
-11.749298,70,65.911712
-11.998345,23,66.236722
-14.40611,128,68.771261
-12.360647,289,74.506147
-13.90624,160,77.692214
-12.113105,12,77.987468
-10.94498,37,78.81306
-7.823853,287,84.741074
-13.015225,134,87.490773
-14.862508,123,90.162469
-13.964062,539,100.589798
-12.744734,73,101.814688
-12.311927,14,102.11787
14.80001,28,102.539438
-10.233157,118,104.771804
-17.291957,352,111.442158
-11.462428,7,111.599735
-11.970258,62,112.781882
-14.06705,42,113.57567
-11.464105,12,113.83032
-12.867987,147,116.596758
-12.281483,113,118.868473
-7.814704,143,121.724396
-13.351975,38,122.317191
-13.099052,103,124.532253
13.31093,11,124.721227
-8.54997,304,130.592305
-13.860501,25,130.984002
-12.672462,95,133.032379
-8.95772,232,137.464748
-13.82419,86,139.186001
-11.796614,75,140.620839
14.993976,22,140.956698
-14.13558,317,147.116637
12.752908,61,148.082932
-11.801666,17,148.481123
-11.963309,203,152.446103
12.453772,64,153.917865
-11.074139,86,155.384495
-12.049444,101,157.084448
-11.696514,219,161.142518
-15.040169,24,161.468679
-10.786057,49,162.343333
-9.558917,78,163.830173
-7.970915,241,168.406429
-13.192105,92,170.089598
-6.08621,269,175.111591
20.369996,563,185.769257
-14.251284,122,188.105712
-11.069731,58,189.137037
-11.671096,53,190.07895
-11.039956,212,194.404252
-12.70664,95,196.049654
14.432005,52,197.032687
-11.212132,41,197.614133
16.106004,73,198.872679
13.956414,13,199.114793
-12.164902,122,200.859771
13.859184,73,201.906708
-10.809569,217,205.40282
-10.97646,51,206.180943
-11.032554,268,210.428138
-10.158414,97,212.29827
13.83058,32,212.964113
-12.916953,288,218.361713
